class_idx,k_code,name,bbox,img_count,angle_70,angle_75,angle_90,shape,color,print_front,print_back
0,K-001900,보령부스파정 5mg,51,51,17,17,17,장방형,하양,BSP,5
1,K-002483,뮤테란캡슐 100mg,51,51,17,17,17,장방형,초록,Hanwha MUC100,
2,K-003351,일양하이트린정 2mg,157,157,47,50,60,원형,주황,I Y,HT
3,K-003483,기넥신에프정(은행엽엑스)(수출용),45,51,17,17,17,장방형,초록,,G40
4,K-003544,무코스타정(레바미피드)(비매품),51,51,17,17,17,원형,하양,OG33,
5,K-003743,알드린정,51,51,17,17,17,원형,하양,ALT,
6,K-003832,뉴로메드정(옥시라세탐),51,51,17,17,17,장방형,하양,NR800,
7,K-004543,에어탈정(아세클로페낙),51,52,17,17,18,원형,하양,Airtal,
8,K-012081,리렉스펜정 300mg/PTP,51,51,17,17,17,장방형,하양,HMP,RP
9,K-012247,아빌리파이정 10mg,51,51,17,17,17,장방형,분홍,A-008 10,
10,K-012778,다보타민큐정 10mg/병,51,51,17,17,17,타원형,갈색,Y H,
11,K-013395,써스펜8시간이알서방정 650mg,51,51,17,17,17,장방형,하양,SUSPEN,
12,K-013900,에빅사정(메만틴염산염)(비매품),51,51,17,17,17,타원형,노랑,M,1 0
13,K-016232,리피토정 20mg,51,52,18,17,17,원형,하양,ATV,20
14,K-016262,크레스토정 20mg,51,51,17,17,17,원형,분홍,ZD452220,
15,K-016548,가바토파정 100mg,51,51,17,17,17,원형,주황,GB,
16,K-016551,동아가바펜틴정 800mg,51,51,17,17,17,타원형,하양,DGTH,800
17,K-016688,오마코연질캡슐(오메가-3-산에틸에스테르90),51,51,17,6,28,장방형,노랑, 투명,OMACOR
18,K-018147,리리카캡슐 150mg,51,51,17,17,17,장방형,하양,Pfizer PGN    150,
19,K-018357,종근당글리아티린연질캡슐(콜린알포세레이트),51,51,17,17,17,타원형,갈색,GLT400,
20,K-019232,콜리네이트연질캡슐 400mg,17,51,17,17,17,타원형,갈색,HM-CN,
21,K-019552,트루비타정 60mg/병,51,52,17,18,17,타원형,갈색,YH,TV
22,K-019607,스토가정 10mg,51,51,17,17,17,원형,하양,FZ12,
23,K-019861,노바스크정 5mg,51,51,17,17,17,팔각형,하양,Pfizer,NV 5
24,K-020014,마도파정,51,51,17,17,17,원형,분홍,RO C HE Roche,
25,K-020238,플라빅스정 75mg,51,52,17,18,17,원형,분홍,,1171
26,K-020877,엑스포지정 5/160mg,51,51,17,17,17,타원형,노랑,NVR,ECE
27,K-021325,아토르바정 10mg,51,51,17,17,17,타원형,하양,YH,10
28,K-021771,라비에트정 20mg,51,51,17,17,17,원형,노랑,ID20,
29,K-022074,리피로우정 20mg,51,52,18,17,17,원형,하양,LPL,20
30,K-022347,자누비아정 50mg,51,52,17,18,17,원형,주황,112,
31,K-022362,맥시부펜이알정 300mg,51,51,17,17,17,장방형,하양,MX,
32,K-024850,놀텍정 10mg,51,52,17,17,18,타원형,주황,Noltec 10,
33,K-025367,자누메트정 50/850mg,51,52,17,18,17,타원형,분홍,515,
34,K-025438,큐시드정 31.5mg/PTP,51,51,17,17,17,원형,연두,Q,YH
35,K-025469,아모잘탄정 5/100mg,51,51,17,17,17,타원형,분홍,Hanmi,Amosartan 5/100
36,K-027733,트윈스타정 40/5mg,51,51,17,17,17,타원형,하양,BI A1,
37,K-027777,카나브정 60mg,51,51,17,17,17,육각형,노랑,B R,FMS6
38,K-027926,울트라셋이알서방정,51,52,18,17,17,타원형,노랑,T/A ER,
39,K-027993,졸로푸트정 100mg,51,52,17,18,17,장방형,하양,Pfizer,ZLT-100
40,K-028763,트라젠타정(리나글립틴),51,51,17,17,17,원형,분홍,,D5
41,K-029345,비모보정 500/20mg,51,51,17,17,17,타원형,노랑,500/20,
42,K-029451,레일라정,51,51,17,17,17,타원형,노랑,LΛYLΛ,
43,K-029667,리바로정 4mg,51,52,18,17,17,원형,노랑,JW203,
44,K-030308,트라젠타듀오정 2.5/850mg,51,52,17,17,18,타원형,주황,,D2/850
45,K-031863,아질렉트정(라사길린메실산염),51,51,17,17,17,원형,하양,GIL 1,
46,K-031885,자누메트엑스알서방정 100/1000mg,51,51,17,17,17,타원형,파랑,81,
47,K-032310,글리아타민연질캡슐,51,51,17,17,17,타원형,갈색,글리아타민,
48,K-033009,신바로정,51,52,17,18,17,타원형,갈색,S300,
49,K-033208,에스원엠프정 20mg,51,51,17,17,17,원형,분홍,20S,
50,K-033880,글리틴정(콜린알포세레이트),51,51,17,17,17,타원형,주황,,JIC
51,K-034597,제미메트서방정 50/1000mg,51,52,17,17,18,장방형,분홍,LG,5010
52,K-035206,아토젯정 10/40mg,51,51,17,17,17,타원형,하양,337,
53,K-036637,로수젯정10/5밀리그램,51,51,17,17,17,타원형,노랑,R5,
54,K-038162,로수바미브정 10/20mg,51,51,17,17,17,타원형,분홍,RE20,Y H
55,K-041768,카발린캡슐 25mg,51,51,17,17,17,장방형,노랑,CJ PGN   25,
56,K-018110,란스톤엘에프디티정30mg(란소프라졸),51,51,17,17,17,원형,하양,213,30
57,K-029871,렉사프로정15mg(에스시탈로프람옥살산염),51,52,17,17,18,타원형,하양,E M,
58,K-643900470,부루펜정200mg(이부프로펜),51,52,18,17,17,장방형,하양,SiL,BR2
59,K-653700380,게루삼엠정,51,51,17,17,17,원형,하양,AHG,
60,K-027653,세비카정10/40mg(암로디핀/아토르바스타틴),51,52,18,17,17,원형,빨강,C77,
61,K-010221,쎄로켈정100mg(쿠에티아핀푸마르산염),51,51,17,17,17,원형,노랑,SEROQUEL 100,
62,K-006563,조인스정200mg(위령선/괄루근/하고초복합),51,51,17,17,17,타원형,노랑,SK,J200
63,K-044199,케이캡정50mg(테고프라잔),51,52,18,17,17,장방형,분홍,K 50,
64,K-643506740,코싹엘정(슈도에페드린염산염/로라타딘),51,51,17,17,17,장방형,노랑,Cossac-L,Hanmi
65,K-004378,타이레놀정500mg(아세트아미노펜),51,51,17,17,17,장방형,하양,TYLENOL ER,500
66,K-021026,펠루비정(펠루비프로펜),51,51,17,17,17,원형,하양,PE,
67,K-010224,넥시움정40mg,51,51,17,17,17,타원형,분홍색,A E1,40mG
68,K-023203,쿠에타핀정25mg,51,51,17,17,17,원형,주황,Q25,
69,K-033878,브린텔릭스정20mg,51,51,17,17,17,삼각형,빨강,TL,20
70,K-012420,자이프렉사정2.5mg,51,51,17,17,17,원형,하양,LILLY4117,
71,K-006192,삐콤씨에프정 618.6mg/병,51,,,,,갈색,타원형,YH,B F
72,K-023223,비타비백정 100mg/병,51,,,,,빨강,타원형,YH,V100
73,K-022627,메가파워정 90mg/병,51,,,,,빨강,타원형,YH,MG